"creators_name.family","creators_name.given","title","date","related_url","pages_aacr","thesis_degree_name"
"Cheuk","Wai Lun","Value at risk and the distortion operator ","2001","http://clues.concordia.ca/search/c?SEARCH=HG 4515.2 C44 2001","viii, 86 leaves ; 29 cm.","Theses (M.Sc.)"
"Cheung","Salina Sik-Chow","Some crystal structures of cyclopentadienyl perfluoroalkyl triphenylphosphine metal complexes ","1975","http://clues.concordia.ca/search/c?SEARCH=QD 951 C44+","109 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Cheung","Raymond Yuk-Ming","Development and evaluation of an information mapped text on Basic ","1980","http://clues.concordia.ca/search/c?SEARCH=LB 3045.5 C53+","294 leaves : ill., forms ; 29 cm.","Theses (M.A.)"
"Cheung","Peter Kwai Fat","A suppressor in Escherichia Coli N4316 which suppresses T4 nonsense and frameshift mutations ","1981","http://clues.concordia.ca/search/c?SEARCH=QH 463.5 C5+","61 leaves : ill., graph ; 29 cm.","Theses (M.Sc.)"
"Cheung","Eddy Tsun-Cheong","Protein mediated electron transfer reactions of cytochrome c peroxidase and cytochrome c ","1992","http://clues.concordia.ca/search/c?SEARCH=QP 671 C8C48 1992","xv, 136 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Cheung","Benjamin Yik Chi","Dee : an object oriented programming environment and its implementation ","1992","http://clues.concordia.ca/search/c?SEARCH=QA 76.64 C49 1992","x, 104 leaves; 29 cm.","Theses (M.Comp.Sc.)"
"Cheung","Wan Hoi","Low power design of motion compensation module for MPEG-4 video transcoder in DCT-domain ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2006 C448","xiii, 78 leaves : ill. ; 29 cm.","M.A. Sc."
"Cheung","Pui Shan Monica","Mirror symmetry breaking and chiral amplification of ethylenediammonium sulfate crystals ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C54M 2008 C44","xiv, 87 leaves : ill. ; 29 cm.","M. Sc."
"Chevalier-Vanderleck","Virginia F.","Age and semantic structures in expert and non-expert learning and memory performance ","1984","http://clues.concordia.ca/search/c?SEARCH=BF 318 C53+ 1984","vi, 124 leaves : ill., forms ; 29 cm.","Theses (M.A.)"
"Chew","Dolores F","Out of the antahpur? : gender subordination and social reform in nineteenth century Bengal ","1988","http://clues.concordia.ca/search/c?SEARCH=HQ 1744 B4C454+ 1988","viii, 112 leaves ; 29 cm.","Theses (M.A.)"
"Chi","Zhao Yu","The design and implementation of a scalable secure multicast system ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2006 C49","xii, 87 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Chiang","Solomon Y.H","Application of flame and flameless atomic absorbtion methods to the ""fingerprinting"" of spills on water media of non-distillate petroleum oils ","1980","http://clues.concordia.ca/search/c?SEARCH=TD 427 P4C52+","v, 210 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Chiarella","Sabrina Sarah","Toddlers' theory of mind skills, parental ratings of their child's empathy, mental state language, and executive functioning in relation to observable empathic behaviours ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P79M 2010 C45","vii, 96 leaves : ill. ; 29 cm.","M.A."
"Chiarelli","Lorraine Esther","A literature review on facilitating on-line collaboration of learning teams : can education learn from business and other disciplines? ","2000","http://clues.concordia.ca/search/c?SEARCH=LB 1032 C45 2000","x, 112 leaves ; 29 cm.","Theses (M.A.)"
"Chicilo","Martin Michael","The Cooperative Commonwealth Federation : the development of education policies and programs in Saskatchewan, 1932-1964 ","1991","http://clues.concordia.ca/search/c?SEARCH=LC 91.2 S3C48 1991","viii, 178 leaves ; 29 cm.","Theses (M.A.)"
"Chicopoulos","Basile","Nearest neighbour dependence of the pressure induced phase transitions of HgSexTe(l-x)","1973","http://clues.concordia.ca/search/c?SEARCH=QD 181 H6G5+","87 leaves.","Theses (M.Eng.)"
"Chifwambwa","Sambwa Gabriel","The role of the rural newspaper in national development in the African context : a reformulation with particular reference to Zambia ","1986","http://clues.concordia.ca/search/c?SEARCH=PN 4749 C48+ 1986","xiv, 191 leaves : ill., maps ; 29 cm.","Theses (M.A.)"
"Chikh","Belkacem","Investigation of thermal dynamics of floor heating with solar gains ","2005","http://clues.concordia.ca/search/c?SEARCH=TH 7535.5 C45 2005","xx, 193 leaves : ill. ; 29 cm.","M.A. Sc."
"Chikh Al Souk","M. Molham Hasan","Optimum design and control of hydraulic systems driven by swash plate pumps using vibration based diagnosis ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43P 2008 C485","xxvi, 283 leaves : ill. ; 29 cm.","Ph. D."
"Chimbe","Dawn","The effect of rural development on people's living standards : the experience of Malawi's rural development programs ","1993","http://clues.concordia.ca/search/c?SEARCH=HD 2133.5 C48 1993","vi, 152 leaves : map ; 29 cm.","Theses (M.A.)"
"Chin","Kevin","The need for including motivational aspects in formative evaluation of adult learning ","2001","http://clues.concordia.ca/search/c?SEARCH=LC 5219 C48 2001","iv, 96 leaves ; 29 cm.","Theses (M.A.)"
"Chinerman","Jerry","No evidence for a conditioned taste preference in rats using relief from morphine withdrawal as the unconditioned stimulus ","1976","http://clues.concordia.ca/search/c?SEARCH=BF 319 C45+","55 leaves : graphs ; 28 cm.","Theses (M.A.)"
"Chinh","Mai","The forcing relationship for maps of the interval ","1990","http://clues.concordia.ca/search/c?SEARCH=QA 297.75 C48+ 1990","vi, 47 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Chintapalli","Sridhar","Preliminary structural design optimization of an aircraft wing-box ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2006 C56","xii, 118 leaves : ill. ; 29 cm.","M.A. Sc."
"Chiovitti","Sandra Lucy","Evolutionary genetic studies of forest trees : genetic structure of the boreal forest tree Pinus banksiana, and the molecular phylogeny of the tropical tree family Dipterocarpaceae ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2006 C48","x, 105 leaves : ill. (some col.) ; 29 cm.","M. Sc."
"Chipman","Lindsay","Expanding the frame : self-portrait photography as applied to drama therapy practice ","2005","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2005 no.10","vii, 124 leaves : ill. ; 29 cm.","M.A."
"Chirwa","Neema Tiyowoyechi","Multicopy suppression of the folA null mutation escherichia coli ","2004","http://clues.concordia.ca/search/c?SEARCH=QH 470 E8C45 2004","xi, 119 leaves : ill. ; 29 cm.","Ph. D."
"Cho","Dongwook","Image denoising using wavelet transforms ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 403.3 C46 2004","xiii, 89 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Chockalingam","Sithambaram","A study of shear diaphragms and clad multistory frames ","1979","http://clues.concordia.ca/search/c?SEARCH=TA 660 F7C493+","xiv, 187 leaves : ill., graphs ; 29 cm.","Theses (D.Eng.)"
"Choi","Dokhee","Nonuniform saw grating resonator and filters ","1981","http://clues.concordia.ca/search/c?SEARCH=TK 5981 C47+","viii, 167 leaves : ill., graphs ; 29 cm.","Theses (M.Eng.)"
"Choi","Yongseok","Context based delivery of voice messages ","2002","http://clues.concordia.ca/search/c?SEARCH=TK 6421 C46 2002","ix, 89 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Cholette","Thérèse B","L'influence du milieu familial sur l'expression de l'image visuelle et verbale ","1974","http://clues.concordia.ca/search/c?SEARCH=N 71 C48+","iv, 254 leaves ; 29 cm. + 3 reels (7 in.) 7 1/2 ips. stereo in box & slides (230 slides : col. ; 2 x 2 in.) in 12 plastic sleeves in box.","Theses (M.A.)"
"Cholmsky","Paul","Using modular architectures within distributed learning environments : a means for improving the efficiency of instructional design & development processes ","2001","http://clues.concordia.ca/search/c?SEARCH=LB 1028.38 C46 2001","viii, 143 leaves ; 29 cm.","Theses (M.A.)"
"Chomienne","Martine","L'enracinement des applications pédagogiques de l'ordinateur : une étude de cas dans la région de Montréal ","1987","http://clues.concordia.ca/search/c?SEARCH=LB 1028.43 C485+ 1987","xviii, 342 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Chopra","Anju","Design and evaluation of experimental multicultural television segments for preschool children ","1980","http://clues.concordia.ca/search/c?SEARCH=BF 723 R3C47 1980","viii, 91 leaves : ill. ; 29 cm. + 1 videorecording (VHS)","Theses (M.A.)"
"Chou","Hsin-I","The role of APC activators Cdc20p and Cdh1p in regulating mitosis and morphogenesis in C. albicans ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2008 C46","xii, 123 leaves : ill. (some col.) ; 29 cm.","M. Sc."
"Choubey","Nirmalendu","Preliminary studies on flow past a gate with cylindrical lips : a major technical report.","1973","http://clues.concordia.ca/search/c?SEARCH=TC 175 C5+","34 leaves : illus.","Theses (M.Eng.)"
"Choudhary","Khalid Tanwir","Cost optimization of industrial buildings ","1978","http://clues.concordia.ca/search/c?SEARCH=TH 1000 C46+","xi, 221 leaves : ill., graphs ; 29 cm.","Theses (M.Eng.)"
"Choudhury","Mahfuz R","A simplified approach to cost-effective allocation of learning resources ","1978","http://clues.concordia.ca/search/c?SEARCH=LB 2830 C48+","iv, 169 leaves : ill., forms, graphs ; 29 cm.","Theses (M.A.)"
"Choudhury","Asif","Removal of nickel and lead from natural clay soil through the introduction of EDTA and coupling ion exchange processes with electrokinetic methodology ","1998","http://clues.concordia.ca/search/c?SEARCH=TD 879 H4C46 1998","xxiii, 315 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Choudhury","Sabina","A feasibility study of the use of artificial neural networks in the diagnosis and treatment of schizophrenia ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.87 C46 2004","viii, 144 leaves : ill. ; 29 cm.","M.A."
"Choudry","A. A","NGOs, social movements and anti-APEC activism : a study in power, knowledge and struggle ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66S36P 2008 C68","x, 321 leaves ; 29 cm.","Ph. D."
"Chow","Douglas","Straight from the source's mouth? : The 1997 alternative federal budget and the neo-liberal discourse of economy in mainstream news media reportage ","1999","http://clues.concordia.ca/search/c?SEARCH=P 95.82 C3C46 1999","vi, 134 leaves ; 29 cm.","Theses (M.A.)"
"Chow","Virginia","Infants' attribution of agent and recipient roles to animate and inanimate objects in a causal event ","2004","http://clues.concordia.ca/search/c?SEARCH=BF 720 C63C46 2004","viii, 52 leaves : ill. ; 29 cm.","M.A."
"Chow","Virginia","A matter of trust : the influence of a looker's past reliability on infants' gaze following and reasoning about beliefs ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P79P 2010 C46","xi, 111 leaves : ill. ; 29 cm.","Ph. D."
"Chowdhury","Md. Nurul Amin","Analysis of switching schemes for 3-phase static AC-DC converter ","1984","http://clues.concordia.ca/search/c?SEARCH=TK 7872 C8C56X 1984","xi, 88 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Chowdhury","Soumitra","Design synthesis and testing of a capacitive type pressure transducer using micro-machining techniques ","1993","http://clues.concordia.ca/search/c?SEARCH=TJ 223 T7C48 1993","xiii, 139 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Chowdhury","Sakuntala","The pricing behaviour of firms in foreign and domestic markets : empirical evidence from business-survey data ","1995","http://clues.concordia.ca/search/c?SEARCH=HF 5416.5 C49 1995","xi, 98 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Chowdhury","Mahabubul Alam","Dynamic performance of heavy vehicles using finite element method ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2006 C46","xvii, 155 leaves : ill. ; 29 cm.","M.A. Sc."
"Chowdhury","Md. Rashadul Islam","Biosorption of arsenic by anaerobic biomass ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2007 C46","xvi,  120 leaves : ill. ; 29 cm.","M.A. Sc."
"Chowdhury","Subrata","Mechanisms of aging and development in the nematode caenorhabditis elegans ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2008 C469","xii, 156 leaves : ill. (some col.) ; 29 cm.","M. Sc."
"Choy","Bonny Shu Fen","Yeast model of human ββ-enolase deficiency disease : characterization of G157D yeast enolase ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C54M 2006 C56","xviii, 127 leaves : ill. (some col.) ; 29 cm.","M. Sc."
"Chriqui","Mordékhaï","Le maguid et les écrits zohariques de Rabbi Moché Hayim Luzzatto ","1991","http://clues.concordia.ca/search/c?SEARCH=BM 525 L86C5 1991","viii, 102 leaves : facsims. ; 29 cm.","Theses (M.A.)"
"Christen","Indra Jemma Gayadeen","Identity and freedom in Richard Wright's last novels: The outsider, Savage holiday, and The long dream ","1981","http://clues.concordia.ca/search/c?SEARCH=PS 3545 R815Z63+","97 leaves ; 29 cm.","Theses (M.A.)"
"Christendat","Dinesh Singh","Mechanistic studies on chorismate mutase-prephenate dehydrogenase from E. coli ","1998","http://clues.concordia.ca/search/c?SEARCH=QH 470 E8C47 1998","xix, 209 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Christine M.","Werk","Bidirectional synaptic plasticity within layer V of the sensorimotor cortex ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P79P 2006 W47","xii, 155 leaves : ill. ; 29 cm.","Ph. D."
"Christison","Margaret","¿Helping? : volunteering with children in Chile ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66S63M 2006 C37","iii, 132 leaves ; 29 cm.","M.A."
"Christodoulou","Hellen","Investigation of bearing capacity of thin wall ribbed reinforced concrete panels ","1981","http://clues.concordia.ca/search/c?SEARCH=TA 683.5 P35C48+","vii, 65 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Christopoulos","Constantine","Advances in frequency-coincidence algorithms for EMC testing ","1991","http://clues.concordia.ca/search/c?SEARCH=TK 6553 C44 1991","x, 158 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Chu","William Chi-Ting","An electrical analog for investigating incompressible fluid flow with losses.","1972","http://clues.concordia.ca/search/c?SEARCH=TA 357 C476 1972","73 leaves.","Theses (M.Eng.)"
"Chu","Vanessa","Black ills, black pills : post-colonial analysis of the discursive making of BiDil and African American heart disease","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C66M 2007 C38","v, 121 leaves : map ; 29 cm.","M.A."
"Chughtai","Fazal ur Rehman M","Integrated condition assessment models for sustainable sewer pipelines ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2007 C488","xvii, 189 leaves : ill. ; 29 cm.","M.A. Sc."
"Chui","Nianfu","The development of a dynamic test bed for flight management systems ","2002","http://clues.concordia.ca/search/c?SEARCH=TL 671.9 C48 2002","xx, 109 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Chui","Patrick","Graph model for object oriented programming languages ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2005 C48","vii, 68 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Chung","Wai Men Noel","A language-specific form of attention that underlies second language proficiency ","2003","http://clues.concordia.ca/search/c?SEARCH=P 118.2 C48 2003","ix, 107 leaves ; 29 cm.","Theses (M.A.)"
"Chung","Wai Men Noel","Attention control, working memory, and second language experience in second language performance ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P79P 2008 C488","ix, 167 leaves : ill. ; 29 cm.","Ph. D."
"Chunga","John Abel","Comparative cost study of two way slab systems ","1990","http://clues.concordia.ca/search/c?SEARCH=TA 682.5 S5C48+ 1990","ix, 86 leaves : ill. ; 39 cm.","Theses (M.Eng.)"
"Church","Nancy J","A computer protocol of consumers in a simulated search/purchase task : sequential patterns of prepurchase information-seeking for a durable good ","1986","http://clues.concordia.ca/search/c?SEARCH=TX 335 C48+ 1986","xiv, 328 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Churcher","Kassandra","Family ties : a case study of a character education program at a local Montreal elementary school ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E38M 2005 C38","vix, 113 leaves ; 29 cm.","M.A."
"Chwartkowski","Patricia","Production and evaluation of a self-instructional package to introduce computer programming through the discussion of problem solving and Logo turtle graphics ","1985","http://clues.concordia.ca/search/c?SEARCH=QA 76.27 C58+ 1985","x, 178 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Chwojka","Caroline","Shades of identity : exploring cultural identity construction of allophones and francophones in French-medium schools post Bill 101 ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E38M 2006 C56","vii, 97 leaves : ill., forms ; 29 cm.","M.A."
"Cianflone","Katherine M","Triglyceride synthesis in normal and hyperapoB fibroblasts ","1989","http://clues.concordia.ca/search/c?SEARCH=QP 752 T74C5X 1989","xiv, 152 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Cinquino","Antonio Lucio","A real-time software implementation of an OFDM modem suitable for software defined radios ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 7887.8 M63C56 2004","xiii, 114 leaves : ill. (some col.) ; 29 cm.","M.A. Sc."
"Ciortea","Mihai","Catalytic role of copper in nitric oxide transfer from S-nitrosothiols to low-molecular-weight thiols ","2004","http://clues.concordia.ca/search/c?SEARCH=TP 156 C35C56 2004","xiii, 80 leaves : ill. ; 29 cm.","M. Sc."
"Clairman","Gary Phillip","Searching for the freeway ","1991","http://clues.concordia.ca/search/c?SEARCH=PS 8555 L23S43 1991","ix, 146 leaves ; 29 cm.","Theses (M.A.)"
"Clamen","Jennifer M","Creating a blueprint for law reform : a sex worker rights community project ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66S36M 2007 C53","viii, 188 leaves : ill. ; 29 cm.","M.A."
"Clarini","Janice Paola","Determinants of language assimilation in three ethnic groups in Canada ","1987","http://clues.concordia.ca/search/c?SEARCH=FC 105 L3C55+ 1987","vii, 97 leaves ; 29 cm.","Theses (M.A.)"
"Clark","Russell Fred","Cerebral dominance for language: some asymmetrically represented perceptual strategies.","1972","http://clues.concordia.ca/search/c?SEARCH=QP 385 C4+","ii, 32 leaves.","Theses (M.A.)"
"Clark","Jeremy","Design and construction of a (75,50) forward error correcting codec for high speed digital communications ","1981","http://clues.concordia.ca/search/c?SEARCH=QA 268 C63+","x, 118 leaves : ill., graphs ; 29 cm.","Theses (M.Eng.)"
"Clark","Jennifer","Raspberry vinegar ","1985","http://clues.concordia.ca/search/c?SEARCH=PS 8555 L34R37X 1985","73 leaves ; 29 cm.","Theses (M.A.)"
"Clark","Rodney Andrew","The anthropological dilemma of radical evil ","1991","http://clues.concordia.ca/search/c?SEARCH=B 2799 M25C65 1991","vi, 93 leaves ; 29 cm.","Theses (M.A.)"
"Clark","Richard","Consensus : a planning protocol for cooperating expert systems ","1992","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 E95C575 1992","viii, 105 leaves : ill. : 29 cm.","Theses (M.Comp.Sc.)"
"Clark","Lia","Competitive aggression in male and female Japanese medaka (Oryzias latipes) in relation to the operational sex resource ratio ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2009 C53","vii, 37 leaves : ill. ; 29 cm.","M. Sc."
"Clarke","David Ross","Nuclear magnetic resonance spectroscopy : the ""asymetry effect"" and its contribution to magnetic nonequivalence.","1968","http://clues.concordia.ca/search/c?SEARCH=QD 95 C4","69 leaves : illus.","Theses (M.Sc.)"
"Clarke","James G","Electron paramagnetic resonance of the V3+ ion in Cs Al(SO4)2.l2H2O.","1971","http://clues.concordia.ca/search/c?SEARCH=QD 181 V2C5+","47 leaves : illus.","Theses (M.Sc.)"
"Clarke","L. R","Women and occupational achievement in the professional world ","1985","http://clues.concordia.ca/search/c?SEARCH=HD 6099 C52+ 1985","115 leaves ; 29 cm.","Theses (M.A.)"
"Clarke","Jocelyne","Moving peripheries and marginal cultures : cinema and the ""Dark Continent"" ","1989","http://clues.concordia.ca/search/c?SEARCH=PN 1993.5 A35C56X 1989","142 leaves ; 29 cm.","Theses (M.A.)"
"Clarke","Christopher","The Rucksack Revolution : the Beat Generation's views of nature ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66H57M 2008 C53","iv, 122 leaves ; 29 cm.","M.A."
"Classen","Constance","Utopian aspects of the Mennonite commonwealth in Russia ","1986","http://clues.concordia.ca/search/c?SEARCH=BX 8119 S65C56X 1986","133 leaves ; 29 cm.","Theses (M.A.)"
"Claudius","Jean-Marie","Geometry of the relativistic structure of space-time ","1988","http://clues.concordia.ca/search/c?SEARCH=QC 173.59 M3C57X 1988","109 leaves ; 29 cm.","Theses (M.Sc.)"
"Claveau","C. David","A VLSI sensory-motor architecture for an obstacle avoidance task in an unstructured environment ","2002","http://clues.concordia.ca/search/c?SEARCH=TK 7874.5 C53 2002","ix, 107 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Claveau","C. David","A space-variant architecture for active visual target tracking ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44P 2007 C43","xi, 117 leaves : ill. ; 29 cm.","Ph. D."
"Claxton-Beyde","Greta Annella","Knowledge acquired through video and group communications in religious education ","1988","http://clues.concordia.ca/search/c?SEARCH=BV 1535.9 V5C55+ 1988","vii, 60 leaves ; 29 cm.","Theses (M.A.)"
"Cleaver","Elizabeth","Words and images : an investigation into the literal and symbolic in the illustration of a text ","1980","http://clues.concordia.ca/search/c?SEARCH=NC 960 C53X","xx, 321 leaves : ill. (some col.), facsims. ; 29 cm.","Theses (M.F.A.)"
"Clement","Enid Ursula","Women's resistance to paternalism : an analysis of selected CBC radio drama ","1995","http://clues.concordia.ca/search/c?SEARCH=PS 8169 W6C56 1995","x, 187 leaves ; 29 cm.","Theses (M.A.)"
"Clemente","Angelo Salvatore","The seasons of an immigrant ","1984","http://clues.concordia.ca/search/c?SEARCH=PS 8555 L43S4 1984","116 leaves ; 29 cm.","Theses (M.A.)"
"Cleveland","Mark","An international empirical comparison of in-store information search antecedents for a Christmas gift ","2000","http://clues.concordia.ca/search/c?SEARCH=HF 5415.122 C54 2000","xv, 199 leaves : ill. ; 29 cm.","Theses (M.Sc.Admin.)"
"Cleveland","Mark","The local, the global, and the creole : ethnic identification, acculturation to global consumer culture, and consumptionscapes ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M37P 2006 C54","xviii, 404 leaves : ill. ; 29 cm.","Ph. D."
"Clintberg","Mark","Commodified generosity and relational abductions : the multiples of Felix Gonzales-Torres ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66A35M 2008 C55","vii, 134 leaves : ill. ; 29 cm.","M.A."
"Close","Tamara Gray","Volatility swaps and their use in currency risk management ","2000","http://clues.concordia.ca/search/c?SEARCH=HG 3853 C56 2000","x, 167 leaves : ill. ; 29 cm.","Theses (M.Sc.Admin.)"
"Cloutier","Denise","La créativité pour aider les schizophrènes à dim[in]uer leurs anxiétés et à établir des liens avec le monde extérieur ","2000","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2000 no.1","v, 78 leaves : col. ill. ; 29 cm.","Research papers (M.A.)"
"Cloutier","Suzanne","L'art-thérapie en débriefing : méthode d'intervention préventive de la traumatisation vicariante chez les intervenants ","2006","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2006 no.1","viii, 164 leaves : ill. ; 29 cm.","M.A."
"Coates","Edmund William","The dreamer awakes : semantic and metaphysical presuppositions in skepticism about knowledge of the external world ","2000","http://clues.concordia.ca/search/c?SEARCH=BD 161 C57 2000","v, 97 leaves ; 29 cm.","Theses (M.A.)"
"Cobb","Thomas","From concord to lexicon : development and test of a corpus-based lexical tutor ","1997","http://clues.concordia.ca/search/c?SEARCH=P 53.28 C63 1997","xiii, 298 p. : ill.  ; 29 cm.","Theses (Ph.D.)"
"Cobbett","Elizabeth","It takes two to tango : can Brazil and the U.S. dance to the same regional beat? ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P65M 2006 C63","ix, 96 leaves : ill. ; 29 cm.","M.A."
"Coburn","Joel","The effects of selective cutting and liming on mushroom formation and mycorrhizal colonization of mature yellow birch (Betula alleghaniensis Britt.) in a deciduous forest within the Réserve faunique de Portneuf, south central Québec ","2003","http://clues.concordia.ca/search/c?SEARCH=QK 918 C63 2003","ix, 77 leaves : charts ; 29 cm.","Theses (M.Sc.)"
"Cochrane","Mark","Three years from Long Beach ","1991","http://clues.concordia.ca/search/c?SEARCH=PS 8555 O285T5 1991","vi, 63 leaves ; 29 cm.","Theses (M.A.)"
"Cochrane","Linda","Kant, Newton, and the conditions of possible experience ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P45M 2006 C63","vii, 95 leaves ; 29 cm.","M.A."
"Cockburn","Jenny Ceridwen","'Getting enough stamps for the pogey' and other strategies for surviving Cape Breton's deindustrialization ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66S63M 2005 C63","vi, 125 leaves ; 29 cm.","M.A."
"Cockfield","Brenda","All these old things ","2004","http://clues.concordia.ca/search/c?SEARCH=PS 8555 O32 2004","v, 109 leaves : ill. ; 29 cm.","M.A."
"Code-McNeil","Devon","In a mist ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E54M 2007 C63","iii, 96 leaves ; 29 cm.","M.A."
"Coffey","Brian","A development and testing framework for simulation-based supervisory control with application to optimal zone temperature ramping demand response using a modified genetic algorithm ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2008 C64","x, 156 leaves : ill. ; 29 cm.","M.A. Sc."
"Cohen","Jacquelyn F","Reading ability and temporal processing in the auditory ; Kinaesthetic and visual modalities.","1973","http://clues.concordia.ca/search/c?SEARCH=LB 1050.5 C5775+","32 leaves : illus.","Theses (M.A.)"
"Cohen","Avinoam","The development of the prohibition against usury in Jewish law during the mishnaic and talmudic periods ","1974","http://clues.concordia.ca/search/c?SEARCH=BM 523.5 I5C6+","163 leaves ; 29 cm.","Theses (M.A.)"
"Cohen","Aliza","The effects of compression rates and methods of compression on the comprehension of audiotaped material ","1976","http://clues.concordia.ca/search/c?SEARCH=LB 1067 C58X","v, 74 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Cohen","Henri","The psychological representation of vowel sounds ","1978","http://clues.concordia.ca/search/c?SEARCH=QP 461 C64+","ix, 83 leaves : ill., graphs ; 29 cm.","Theses (M.A.)"
"Cohen","Leslie Renee","Protein intake in the rat : a function of reproductive state and properties of the diet ","1983","http://clues.concordia.ca/search/c?SEARCH=QL 737 R6C54+ 1983","viii, 97 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Cohen","Barri","Strategies of containment and avoidance : a discursive analysis of some contemporary magazines for aging women ","1991","http://clues.concordia.ca/search/c?SEARCH=PN 4879 C64 1991","139 leaves ; 29 cm.","Theses (M.A.)"
"Cohen","Leslie Renée","Protein intake in the rat across various phases of the lactation period ","1993","http://clues.concordia.ca/search/c?SEARCH=QL 737 R6C542 1993","xiii, 137 leaves : ill. ; 28 cm.","Theses (Ph.D.)"
"Cohen","Mitchell","Culture, training and negotiations : a cross-cultural study in multi-cultural Montreal ","2005","http://clues.concordia.ca/search/c?SEARCH=HD 58.6 C65 2004","ix, 77 leaves : ill. ; 29 cm.","M. Sc. Admin."
"Coker","Caesar Amandus Malcolm","The contribution of traditional schooling to the education of the artist in Sierra Leone ","2001","http://clues.concordia.ca/search/c?SEARCH=NX 589.6 S5C65 2001","xi, 283 leaves : col. ill. ; 29 cm.","Theses (Ph.D.)"
"Colagrosso","Piero","Formal specification of C++ class interfaces for software reuse ","1993","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 R47C65 1993","viii, 123 leaves ; 29 cm.","Theses (M.Comp.Sc.)"
